atom,count,example_patterns
Cp,100,Cp
PNM,62,PNM
SNM,38,SNM
PIM,30,PIM
SANe,21,SANe
SNF,21,SNF
PAM,21,PAM
SAM,15,SAM
PPs3In,15,PPs3In
PNPaM,15,PNPaM
SNNe,14,SNNe
SLNe,14,SLNe
Co,14,Co
PGM,11,PGM
SAF,11,SAF
SIM,9,SIM
SG,8,SG
SPr3In,8,SPr3In
PaCp,6,PaCp
PNF,6,PNF
SVM,6,SVM
SPs3In,5,SPs3In
PN,5,PN
SBNe,4,SBNe
SBM,4,SBM
SNPaM,4,SNPaM
PA,4,PA
PAF,4,PAF
P3ImIn,4,P3ImIn
SINe,3,SINe
SIF,3,SIF
PLM,3,PLM
In,3,In
S3ImIn,3,S3ImIn
PNPaF,3,PNPaF
PAPaM,3,PAPaM
PNNe,3,PNNe
SLM,2,SLM
PPr1O,2,PPr1O
PFu1In,2,PFu1In
PPr1In,2,PPr1In
SGM,2,SGM
SPr1In,2,SPr1In
PG,2,PG
PFu2In,2,PFu2In
PPr3In,2,PPr3In
PNPaPrM,2,PNPaPrM
PGNe,2,PGNe
PIPaPrM,1,PIPaPrM
PAPaPsM,1,PAPaPsM
SI,1,SI
S2ImIn,1,S2ImIn
PGF,1,PGF
PAPaPrM,1,PAPaPrM
SAPaPrNePv,1,SAPaPrNePv
DuIM,1,DuIM
SGNe,1,SGNe
SLPaNe,1,SLPaNe
PIPaM,1,PIPaM
SPr3O,1,SPr3O
PVM,1,PVM
SPr3ImPv,1,SPr3ImPv
PPr2In,1,PPr2In
PPr3InPv,1,PPr3InPv
PBNe,1,PBNe
SNMGd,1,SNMGd
SPr3InPv,1,SPr3InPv
SN,1,SN
SNNeGd,1,SNNeGd
PNMGd,1,PNMGd
PL,1,PL
PI,1,PI
PPr2Im,1,PPr2Im
SLPaM,1,SLPaM
SNFGd,1,SNFGd
SNPaNe,1,SNPaNe
SNPaF,1,SNPaF
SFu3In,1,SFu3In
PLPaM,1,PLPaM
